team_id,path,team_color
car,logos/car.png,#0085CA
det,logos/det.png,#0076B6
ram,logos/ram.png,#003594
gnb,logos/gnb.png,#203731
cin,logos/cin.png,#FB4F14
rav,logos/rav.png,#241773
was,logos/was.png,#773141
cle,logos/cle.png,#311D00
crd,logos/crd.png,#97233F
min,logos/min.png,#4F2683
phi,logos/phi.png,#004C54
sfo,logos/sfo.png,#AA0000
dal,logos/dal.png,#003594
sea,logos/sea.png,#002244
nwe,logos/nwe.png,#002244
htx,logos/htx.png,#03202F
mia,logos/mia.png,#008E97
nyj,logos/nyj.png,#125740
pit,logos/pit.png,#FFB612
tam,logos/tam.png,#D50A0A
rai,logos/rai.png,#000000
oti,logos/oti.png,#4B92DB
kan,logos/kan.png,#E31837
sdg,logos/sdg.png,#002A5E
nyg,logos/nyg.png,#0B2265
buf,logos/buf.png,#00338D
den,logos/den.png,#FB4F14
nor,logos/nor.png,#D3BC8D
jax,logos/jax.png,#006778
clt,logos/clt.png,#002C5F
atl,logos/atl.png,#A71930
chi,logos/chi.png,#C83803
