position,adj_pos,position_type
FL,WR,offense
R,WR,offense
WR,WR,offense
SE,WR,offense
RILB,LB,defense
ROLB,LB,defense
JACK,LB,defense
RUSH,LB,defense
LILB,LB,defense
ILB,LB,defense
MLB,LB,defense
OLB,LB,defense
OOLB,LB,defense
LOLB,LB,defense
SLB,LB,defense
WLB,LB,defense
LB,LB,defense
LLB,LB,defense
SAM,LB,defense
MIKE,LB,defense
RLB,LB,defense
WILL,LB,defense
BLB,LB,defense
LCB,DB,defense
RS,DB,defense
S,DB,defense
DB,DB,defense
RCB,DB,defense
SS,DB,defense
FS,DB,defense
NB,DB,defense
CB,DB,defense
TE,TE,offense
PK,K,special_teams
K,K,special_teams
QB,QB,offense
B,RB,offense
F,RB,offense
FB,RB,offense
RB,RB,offense
H,RB,offense
HB,RB,offense
OT,OL,offense
RT,OL,offense
ROT,OL,offense
C,OL,offense
LT,OL,offense
T,OL,offense
OG,OL,offense
LS,OL,offense
LG,OL,offense
RG,OL,offense
G,OL,offense
OL,OL,offense
P,P,special_teams
DL,DL,defense
DT,DL,defense
LDT,DL,defense
LDE,DL,defense
NT,DL,defense
NG,DL,defense
RDE,DL,defense
RDT,DL,defense
DE,DL,defense
EDGE,DL,defense
PR,PR,special_teams
KB,UNKNOWN,
D,UNKNOWN,
TOG,UNKNOWN,
BT,UNKNOWN,
LD,UNKNOWN,
LA,UNKNOWN,
GOC,UNKNOWN,
L,UNKNOWN,
